%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-11-05 14:30:00,2023-11-05,2023-11-05,14:30:00,05.11.2023 14:30,RMSK Cidlina Nový Bydžov B (1),TJ Lánov (7),V,2 : 4 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Kobylice, UMT",
2023-11-25 11:00:00,2023-11-25,2023-11-25,11:00:00,25.11.2023 11:00,FK Jaroměř (3),SK Týniště nad Orlicí (5),V,5 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Dobruška, UMT",
2023-11-11 10:00:00,2023-11-11,2023-11-11,10:00:00,11.11.2023 10:00,RMSK Cidlina Nový Bydžov B (1),FC Spartak Rychnov nad Kněžnou (8),V,2 : 3 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Kobylice, UMT",
2023-11-11 10:30:00,2023-11-11,2023-11-11,10:30:00,11.11.2023 10:30,FK Jaroměř (3),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,5 : 1 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Jaroměř,
2023-11-11 12:00:00,2023-11-11,2023-11-11,12:00:00,11.11.2023 12:00,FC Vrchlabí (4),SK Týniště nad Orlicí (5),V,7 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Vrchlabí, UMT",
2023-11-11 12:45:00,2023-11-11,2023-11-11,12:45:00,11.11.2023 12:45,FC Nový Hradec Králové (2),TJ Lánov (7),V,4 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2024-03-16 09:30:00,2024-03-16,2024-03-16,09:30:00,16.03.2024 09:30,FC Spartak Rychnov nad Kněžnou (8),TJ Dvůr Králové nad Labem/TJ Sokol Bílá Třemešná (6),V,5 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Rychnov nad Kněžnou,
2024-03-16 13:00:00,2024-03-16,2024-03-16,13:00:00,16.03.2024 13:00,FC Nový Hradec Králové (2),FK Jaroměř (3),V,3 : 2 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,Nový HK,
2024-03-16 14:00:00,2024-03-16,2024-03-16,14:00:00,16.03.2024 14:00,TJ Lánov (7),SK Týniště nad Orlicí (5),V,7 : 0 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Nová Paka, UMT",
2024-03-17 15:30:00,2024-03-17,2024-03-17,15:30:00,17.03.2024 15:30,RMSK Cidlina Nový Bydžov B (1),FC Vrchlabí (4),V,4 : 3 (PK:0:0),KP staršího dorostu,St. dorost,St_dorost,2,"Kobylice, UMT",
