%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2024-06-02 10:00:00,2024-06-02,2024-06-02,10:00:00,02.06.2024 10:00,Hostinné/Rudník (4),TJ Sokol Malé Svatoňovice (6),V,3 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2024-06-02 11:00:00,2024-06-02,2024-06-02,11:00:00,02.06.2024 11:00,Hostinné/Rudník (4),TJ Sokol Malé Svatoňovice (6),V,5 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Rudník,
2024-06-11 17:30:00,2024-06-11,2024-06-11,17:30:00,11.06.2024 17:30,SK Červený Kostelec B (2),TJ Lánov (1),V,Nedohráno za stavu: 0 : 0 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-06-11 17:30:00,2024-06-11,2024-06-11,17:30:00,11.06.2024 17:30,SK Červený Kostelec B (2),TJ Lánov (1),V,0 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-06-11 18:30:00,2024-06-11,2024-06-11,18:30:00,11.06.2024 18:30,SK Červený Kostelec B (2),TJ Lánov (1),V,Nezahájeno  (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-06-11 18:30:00,2024-06-11,2024-06-11,18:30:00,11.06.2024 18:30,SK Červený Kostelec B (2),TJ Lánov (1),V,0 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Červený Kostelec,
2024-04-27 10:00:00,2024-04-27,2024-04-27,10:00:00,27.04.2024 10:00,FK Náchod dívky (7),Hostinné/Rudník (4),V,0 : 5 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Hamra-nový,
2024-04-27 11:00:00,2024-04-27,2024-04-27,11:00:00,27.04.2024 11:00,FK Náchod dívky (7),Hostinné/Rudník (4),V,1 : 4 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Hamra-nový,
2024-06-09 10:00:00,2024-06-09,2024-06-09,10:00:00,09.06.2024 10:00,TJ Lánov (1),Fotbalový klub Mostek (3),V,4 : 2 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
2024-06-09 11:00:00,2024-06-09,2024-06-09,11:00:00,09.06.2024 11:00,TJ Lánov (1),Fotbalový klub Mostek (3),V,1 : 3 (PK:0:0),OP starších žáků,St. žáci 'B',St_zaci,5,Lánov,
