%Date,Datum utkání,Timestamp,Čas utkání,datum a čas,domácí,hosté,Doma/Venku,skóre,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,hřiště,poznámka
2023-09-28 10:00:00,2023-09-28,2023-09-28,10:00:00,28.09.2023 10:00,Sportovní klub Sobotka (5),Košťálov-Libštát/Nová Ves (6),V,3 : 6 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2023-09-28 11:30:00,2023-09-28,2023-09-28,11:30:00,28.09.2023 11:30,Bílá Třemešná/Dvůr Králové (7),TJ Sokol Chomutice (4),D,2 : 8 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2023-09-28 14:15:00,2023-09-28,2023-09-28,14:15:00,28.09.2023 14:15,TJ Sokol Jičíněves (2),Sokol Vítězná (8),V,8 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2023-11-05 11:00:00,2023-11-05,2023-11-05,11:00:00,05.11.2023 11:00,FK Poříčí u Trutnova (3),Bílá Třemešná/Dvůr Králové (7),V,4 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2023-11-05 12:00:00,2023-11-05,2023-11-05,12:00:00,05.11.2023 12:00,Sokol Vítězná (8),Sportovní klub Sobotka (5),V,0 : 5 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2023-11-12 11:00:00,2023-11-12,2023-11-12,11:00:00,12.11.2023 11:00,Sokol Provodov (1),TJ Sokol Jičíněves (2),V,2 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Dolany u Jaroměře,
2024-05-26 10:00:00,2024-05-26,2024-05-26,10:00:00,26.05.2024 10:00,Košťálov-Libštát/Nová Ves (6),TJ Sokol Chomutice (4),V,5 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2024-03-30 11:00:00,2024-03-30,2024-03-30,11:00:00,30.03.2024 11:00,TJ Sokol Jičíněves (2),Košťálov-Libštát/Nová Ves (6),V,0 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-03-30 14:00:00,2024-03-30,2024-03-30,14:00:00,30.03.2024 14:00,FK Poříčí u Trutnova (3),Sportovní klub Sobotka (5),V,5 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2024-03-31 10:30:00,2024-03-31,2024-03-31,10:30:00,31.03.2024 10:30,Sokol Provodov (1),Bílá Třemešná/Dvůr Králové (7),V,6 : 4 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Dolany u Jaroměře,
2024-03-31 13:00:00,2024-03-31,2024-03-31,13:00:00,31.03.2024 13:00,Sokol Vítězná (8),TJ Sokol Chomutice (4),V,3 : 6 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2024-04-06 10:00:00,2024-04-06,2024-04-06,10:00:00,06.04.2024 10:00,FK Poříčí u Trutnova (3),Košťálov-Libštát/Nová Ves (6),V,2 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2024-04-06 10:00:00,2024-04-06,2024-04-06,10:00:00,06.04.2024 10:00,TJ Sokol Chomutice (4),Sportovní klub Sobotka (5),V,2 : 2 (PK:5:3),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2024-04-07 10:30:00,2024-04-07,2024-04-07,10:30:00,07.04.2024 10:30,Sokol Provodov (1),Sokol Vítězná (8),V,8 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2024-05-24 17:00:00,2024-05-24,2024-05-24,17:00:00,24.05.2024 17:00,TJ Sokol Jičíněves (2),Bílá Třemešná/Dvůr Králové (7),V,6 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-04-13 10:00:00,2024-04-13,2024-04-13,10:00:00,13.04.2024 10:00,Košťálov-Libštát/Nová Ves (6),TJ Sokol Chomutice (4),V,4 : 4 (PK:2:3),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Libštát,
2024-04-14 10:30:00,2024-04-14,2024-04-14,10:30:00,14.04.2024 10:30,Sokol Provodov (1),TJ Sokol Jičíněves (2),V,2 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2024-04-14 13:00:00,2024-04-14,2024-04-14,13:00:00,14.04.2024 13:00,Sokol Vítězná (8),Sportovní klub Sobotka (5),V,0 : 14 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2024-04-14 13:30:00,2024-04-14,2024-04-14,13:30:00,14.04.2024 13:30,Bílá Třemešná/Dvůr Králové (7),FK Poříčí u Trutnova (3),D,2 : 2 (PK:3:4),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2024-04-20 10:00:00,2024-04-20,2024-04-20,10:00:00,20.04.2024 10:00,Sportovní klub Sobotka (5),Košťálov-Libštát/Nová Ves (6),V,1 : 4 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Sobotka,
2024-04-20 14:00:00,2024-04-20,2024-04-20,14:00:00,20.04.2024 14:00,TJ Sokol Jičíněves (2),Sokol Vítězná (8),V,8 : 0 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-04-20 14:30:00,2024-04-20,2024-04-20,14:30:00,20.04.2024 14:30,FK Poříčí u Trutnova (3),Sokol Provodov (1),V,1 : 1 (PK:3:1),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Poříčí,
2024-04-21 15:00:00,2024-04-21,2024-04-21,15:00:00,21.04.2024 15:00,TJ Sokol Chomutice (4),Bílá Třemešná/Dvůr Králové (7),V,6 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Chomutice,
2024-04-28 10:30:00,2024-04-28,2024-04-28,10:30:00,28.04.2024 10:30,Sokol Provodov (1),TJ Sokol Chomutice (4),V,1 : 9 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Provodov,
2024-04-28 13:00:00,2024-04-28,2024-04-28,13:00:00,28.04.2024 13:00,Sokol Vítězná (8),Košťálov-Libštát/Nová Ves (6),V,1 : 11 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Vítězná,
2024-04-28 13:30:00,2024-04-28,2024-04-28,13:30:00,28.04.2024 13:30,Bílá Třemešná/Dvůr Králové (7),Sportovní klub Sobotka (5),D,0 : 2 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2024-04-28 15:00:00,2024-04-28,2024-04-28,15:00:00,28.04.2024 15:00,TJ Sokol Jičíněves (2),FK Poříčí u Trutnova (3),V,2 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Jičíněves,
2024-05-01 10:00:00,2024-05-01,2024-05-01,10:00:00,01.05.2024 10:00,Bílá Třemešná/Dvůr Králové (7),Sokol Vítězná (8),D,3 : 1 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,B.Třemešná,
2024-05-01 10:00:00,2024-05-01,2024-05-01,10:00:00,01.05.2024 10:00,Košťálov-Libštát/Nová Ves (6),Sokol Provodov (1),V,12 : 3 (PK:0:0),OP mladšího dorostu,Ml. dorost,Ml_dorost,3,Nová Ves n. P.,
